"Refactor - Java","Change Method Signature","Alt+Shift+C","In Windows"
"Text Editing","Select Previous Word","Ctrl+Shift+Left","Editing Text"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"Run/Debug","Debug Last Launched","Ctrl+F11","In Windows"
"Search","Show Occurrences in File Quick Menu","Ctrl+Shift+U","In Windows"
"Views","Show View (View: Javadoc)","Alt+Shift+Q, J","In Windows"
"Edit","Update Activity diagram","F5","In Activity Diagram Editor"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Run/Debug","Debug OSGi Framework","Alt+Shift+D, O","In Windows"
"Manifest Editor Source","Format Source","Ctrl+Shift+F","PDE editor"
"File","Close All","Ctrl+Shift+W","In Windows"
"Views","Show View (View: Console)","Alt+Shift+Q, C","In Windows"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Window","Show System Menu","Alt+-","In Windows"
"Project","Build All","Ctrl+B","In Windows"
"Edit","Select Next Element","Alt+Shift+Right","Editing Java Source"
"Views","Show View (View: Package Explorer)","Alt+Shift+Q, P","In Windows"
"File","Save All","Ctrl+Shift+S","In Windows"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"Edit","Update Component diagram","F5","In Component Diagram Editor"
"Run/Debug","Run Ant Build","Alt+Shift+X, Q","In Windows"
"File","Close","Ctrl+W","In Windows"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"Run/Debug","EOF","Ctrl+Z","In I/O Console"
"Text Editing","Line Start","Home","Editing Text"
"Edit","Context Information","Ctrl+Shift+Space","In Windows"
"Run/Debug","Inspect","Ctrl+Shift+I","In Dialogs and Windows"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"Navigate","Go to Matching Bracket","Ctrl+Shift+P","Editing Java Source"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Text Editing","To Lower Case","Ctrl+Shift+Y","Editing Text"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Views","Show View (View: Outline)","Alt+Shift+Q, O","In Windows"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Source","Toggle Ant Mark Occurrences","Alt+Shift+O","Editing Ant Buildfiles"
"Refactor - Java","Extract Method","Alt+Shift+M","In Windows"
"Navigate","Open External Javadoc","Shift+F2","In Windows"
"Run/Debug","Step Over","F6","Debugging"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"Text Editing","Reset Structure","Ctrl+Shift+Numpad_Multiply","Editing Text"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"Refactor - Java","Show Refactor Quick Menu","Alt+Shift+T","In Windows"
"Window","Previous Perspective","Ctrl+Shift+F8","In Windows"
"File","Print","Ctrl+P","In Windows"
"Source","Add Block Comment","Ctrl+Shift+/","Editing Java Source"
"Text Editing","Select Next Word","Ctrl+Shift+Right","Editing Text"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"Source","Quick Assist - Rename in file","Ctrl+2, R","Editing Java Source"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"File","Save","Ctrl+S","In Windows"
"Views","Show View (View: Search)","Alt+Shift+Q, S","In Windows"
"File","Close","Ctrl+F4","In Windows"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Views","Show View (View: Error Log)","Alt+Shift+Q, L","In Windows"
"Navigate","Go to Previous Member","Ctrl+Shift+Up","Editing Java Source"
"Run/Debug","Run Eclipse Application","Alt+Shift+X, E","In Windows"
"Source","Surround With Quick Menu","Alt+Shift+Z","In Windows"
